deso,hyresrätt,bostadsrätt,äganderätt,uppgift saknas,,"Antal lägenheter efter år, region och upplåtelseform"
0180C3730,150,508,72,0,,
0180C3740,420,459,0,0,,
0180C3750,628,410,0,0,,
0180C3760,45,67,370,0,,
0180C3770,510,272,0,0,,
0180C3780,59,634,1,0,,
0180C3790,389,613,0,0,,
0180C3800,215,518,1,0,,
0180C3810,296,615,0,0,,
0180C3820,257,746,0,0,,
0180C3830,81,856,0,0,,
0180C3840,20,170,397,0,,
0180C3850,130,62,395,0,,
0180C3860,462,563,0,0,,
0180C3870,234,564,85,0,,
0180C3880,577,395,0,0,,
0180C3890,473,661,0,0,,
0180C3900,193,695,0,0,,
0180C3910,100,266,387,0,,
0180C3920,346,51,2,0,,
0180C3930,198,538,0,0,,
0180C3940,671,362,6,0,,
0180C3950,578,328,0,0,,
0180C3960,302,520,0,0,,
0180C3970,360,631,0,0,,
0180C3980,289,757,0,0,,
0180C3990,322,668,0,0,,
0180C4000,363,273,193,0,,
0180C4010,426,749,0,0,,
0180C4020,96,963,0,0,,
0180C4030,222,722,0,0,,
0180C4040,817,563,0,0,,
0180C4050,660,387,0,0,,
0180C4060,561,599,102,0,,
0180C4070,607,377,0,0,,
0180C4080,366,549,34,0,,
0180C4090,284,712,0,0,,
0180C4100,44,711,0,0,,
0180C4110,89,167,312,0,,
0180C4120,223,598,0,0,,
0180C4130,35,872,0,0,,
0180C4140,200,905,0,0,,
0180C4150,260,650,0,0,,
0180C4160,288,602,0,0,,
0180C4170,297,826,0,0,,
0180C4180,697,393,0,0,,
0180C4190,512,454,0,0,,
0180C4200,75,4,506,0,,
0180C4210,253,905,0,0,,
0180C4220,153,1087,0,0,,
0180C4230,118,916,0,0,,
0180C4240,500,653,0,0,,
0180C4250,551,486,0,0,,
0180C4260,352,682,0,0,,
0180C4270,171,372,0,0,,
0180C4280,420,846,0,0,,
0180C4290,14,939,0,0,,
0180C4300,561,583,0,0,,
0180C4310,267,755,0,0,,
0180C4320,0,856,0,0,,
0180C4330,336,612,0,0,,
0180C4340,466,570,0,0,,
0180C4350,522,447,0,0,,
0180C4360,366,869,0,0,,
0180C4370,211,574,0,0,,
0180C4380,249,881,0,0,,
0180C4390,94,523,6,0,,
0180C4400,313,550,0,0,,
0180C4410,529,682,0,0,,
0180C4420,266,711,0,0,,
0180C4430,322,684,0,0,,
0180C4440,333,561,0,0,,
0180C4450,163,945,0,0,,
0180C4460,1179,257,4,0,,
0180C4470,991,453,8,0,,
0180C4480,468,156,46,0,,
0180C4490,242,900,0,0,,
0180C4500,406,405,1,0,,
0180C4510,5,49,498,0,,
0180C4520,337,665,0,0,,
0180C4530,378,1408,4,0,,
0180C4540,261,592,0,0,,
0180C4550,326,224,0,0,,
0180C4560,238,942,0,0,,
0180C4570,156,214,192,0,,
0180C4580,0,948,0,0,,
0180C4590,72,914,0,0,,
0180C4600,411,698,0,0,,
0180C4610,395,795,7,0,,
0180C4620,298,712,0,0,,
0180C4630,813,394,0,0,,
0180C4640,510,502,0,0,,
0180C4650,212,573,0,0,,
0180C4660,291,698,0,0,,
0180C4670,305,612,1,0,,
0180C4680,0,630,0,0,,
0180C4690,263,594,0,0,,
0180C4700,393,1012,15,0,,
0180C4710,587,830,0,0,,
0180C4720,291,703,1,0,,
0180C4730,462,432,0,0,,
0180C4740,164,718,0,0,,
0180C4750,371,503,0,0,,
0180C4760,91,606,0,0,,
0180C4770,543,682,0,0,,
0180C4780,336,646,0,0,,
0180C4790,82,959,0,0,,
0180C4800,369,450,0,0,,
0180C4810,167,527,0,0,,
0180C4820,160,821,0,0,,
0180C4830,201,758,1,0,,
0180C4840,371,652,0,0,,
0180C4850,61,797,0,0,,
0180C4860,200,872,0,0,,
0180C4870,293,586,0,0,,
0180C4880,250,513,0,0,,
0180C4890,161,611,0,0,,
0180C4900,307,615,0,0,,
0180C4910,472,595,0,0,,
0180C4920,193,727,0,0,,
0180C4930,429,892,0,0,,
0180C4940,761,501,0,0,,
0180C4950,519,387,0,0,,
0180C4960,218,746,2,0,,
