deso,Median income tkr,Antal personer totalt,,,,,
0163C1320,439.2,1146,,,,,
0163C1330,404.1,1161,,,,,
0163C1340,492,1373,,,,,
0163C1350,289.9,1192,,,,,
0163C1360,427.1,1155,,,,,
0163C1370,340.9,1192,,,,,
0163C1380,479,1341,,,,,
0163C1390,325.7,712,,,,,
0163C1400,321.8,915,,,,,
0180C1010,268.5,1411,,,,,
0180C1020,275.9,1423,,,,,
0180C1030,369.6,1457,,,,,
0180C1040,325.1,1871,,,,,
0180C1050,378.8,2025,,,,,
0180C1060,315.5,1605,,,,,
0180C1070,272.7,1046,,,,,
0180C1080,306.7,1218,,,,,
0180C1090,326.8,1179,,,,,
0180C1100,326.8,2148,,,,,
0180C1110,423.2,1510,,,,,
0180C1120,259,1049,,,,,
0180C1130,283.5,1136,,,,,
0180C1140,280.9,1185,,,,,
0180C1150,329.9,971,,,,,
0180C1160,284.1,1266,,,,,
0180C1170,372.5,1720,,,,,
0180C1180,284,1356,,,,,
0180C1190,369.1,1389,,,,,
0180C1200,265.5,1142,,,,,
0180C1210,333.1,1426,,,,,
0180C1220,332.7,1898,,,,,
0180C1230,235.6,1472,,,,,
0180C1240,412.6,2363,,,,,
0180C1250,325.2,1975,,,,,
0180C1260,281.7,1303,,,,,
0180C1270,415.2,1235,,,,,
0180C1280,307.9,1343,,,,,
0180C1290,315.6,1613,,,,,
0180C1300,253.9,1008,,,,,
0180C1310,339.6,1368,,,,,
0180C1320,307.9,1773,,,,,
0180C1330,269,1424,,,,,
0180C1340,278,1440,,,,,
0180C1350,352.9,1593,,,,,
0180C1360,305,1353,,,,,
0180C1370,315.4,1699,,,,,
0180C1380,311.9,1353,,,,,
0180C1390,355.1,1513,,,,,
0180C1400,375.2,1506,,,,,
0180C1410,360,1705,,,,,
0180C1420,439.8,914,,,,,
0180C1430,553.3,1007,,,,,
0180C1440,346,1381,,,,,
0180C1450,345.5,1934,,,,,
0180C1460,329.9,1628,,,,,
0180C1470,314.4,1538,,,,,
0180C1480,328,1248,,,,,
0180C1490,242.7,1172,,,,,
0180C1500,327,1471,,,,,
0180C1510,262.1,1298,,,,,
0180C1520,320.2,1311,,,,,
0180C1530,343.2,1618,,,,,
0180C1540,321.9,1182,,,,,
0180C1550,530.1,1320,,,,,
0180C1560,239.8,1447,,,,,
0180C1570,308.3,1432,,,,,
0180C1580,366.6,1273,,,,,
0180C1590,271.1,1866,,,,,
0180C1600,311.7,1167,,,,,
0180C1610,377.9,1482,,,,,
0180C1620,533.1,963,,,,,
0180C1630,457.1,1159,,,,,
0180C1640,422,1210,,,,,
0180C1650,537.9,1324,,,,,
0180C1660,204.8,1125,,,,,
0180C1670,554.6,1212,,,,,
0180C1680,198.8,1243,,,,,
0180C1690,331.9,1205,,,,,
0180C1700,538.3,1303,,,,,
0180C1710,390.1,1609,,,,,
0180C1720,259.2,1279,,,,,
0180C1730,277.3,1271,,,,,
0180C1740,399.2,1041,,,,,
0180C1750,334.3,1170,,,,,
0180C1760,349.4,1048,,,,,
0180C1770,419.3,1396,,,,,
0180C1780,227.6,1384,,,,,
0180C1790,443.1,1451,,,,,
0180C1800,326.7,1103,,,,,
0180C1810,502.5,980,,,,,
0180C1820,454.3,1646,,,,,
0180C1830,529.3,1373,,,,,
0180C1840,395.3,1373,,,,,
0180C1850,402.2,1151,,,,,
0180C1860,295.4,1739,,,,,
0180C1870,384.5,2863,,,,,
0180C1880,399.2,1512,,,,,
0180C1890,475.1,1238,,,,,
0180C1900,306.3,1253,,,,,
0180C1910,256.3,1258,,,,,
0180C1920,423.4,1360,,,,,
0180C1930,421.1,1943,,,,,
0180C1940,326.1,1677,,,,,
0180C1950,368.1,1396,,,,,
0180C1960,445.6,966,,,,,
0180C1970,478.6,977,,,,,
0180C1980,315.1,1465,,,,,
0180C1990,473.1,1016,,,,,
0180C2000,351.4,1103,,,,,
0180C2010,272.4,1519,,,,,
0180C2020,349.8,1075,,,,,
0180C2030,412.6,1828,,,,,
0180C2040,248.6,1105,,,,,
0180C2050,341.4,1509,,,,,
0180C2060,266.4,1425,,,,,
0180C2070,351.1,1528,,,,,
0180C2080,383.2,1357,,,,,
0180C2090,381.4,1519,,,,,
0180C2100,368.8,1125,,,,,
0180C2110,395.1,2497,,,,,
0180C2120,453.6,1234,,,,,
0180C2130,357.4,1480,,,,,
0180C2140,352.2,1589,,,,,
0180C2150,286.8,1758,,,,,
0180C2160,320.1,1298,,,,,
0180C2170,426.1,987,,,,,
0180C2180,326.4,1593,,,,,
0180C2190,493,1129,,,,,
0180C2200,338.7,1062,,,,,
0180C2210,346.7,1004,,,,,
0180C2220,350.9,1413,,,,,
0180C2230,338.3,1106,,,,,
0180C2240,372.9,1466,,,,,
0180C2250,239.3,1748,,,,,
0180C2260,357.2,1077,,,,,
0180C2270,349,1419,,,,,
0180C2280,271,1496,,,,,
0180C2290,322.6,1582,,,,,
0180C2300,497.8,1599,,,,,
0180C2310,358,1667,,,,,
0180C2320,384.1,1509,,,,,
0180C2330,365.1,1506,,,,,
0180C2340,292.2,1497,,,,,
0180C2350,392.5,1501,,,,,
0180C2360,365.7,1388,,,,,
0180C2370,393.1,1275,,,,,
0180C2380,421.5,1176,,,,,
0180C2390,399.4,1495,,,,,
0180C2400,487.6,1316,,,,,
0180C2410,419,1370,,,,,
0180C2420,350.8,1453,,,,,
0180C2430,390.7,2221,,,,,
0180C2440,375.3,1767,,,,,
0180C2450,414.5,1429,,,,,
0180C2460,403.3,1850,,,,,
0180C2470,311.7,1443,,,,,
0180C2480,383.5,1451,,,,,
0180C2490,410.9,1296,,,,,
0180C2500,273.3,1374,,,,,
0180C2510,400.4,1669,,,,,
0180C2520,358.5,1222,,,,,
0180C2530,418.2,1639,,,,,
0180C2540,423.1,1756,,,,,
0180C2550,302,1430,,,,,
0180C2560,435.9,1382,,,,,
0180C2570,471.1,1692,,,,,
0180C2580,536.1,1352,,,,,
0180C2590,412.6,1570,,,,,
0180C2600,518.7,1109,,,,,
0180C2610,411.8,1636,,,,,
0180C2620,447.7,2252,,,,,
0180C2630,444.8,1329,,,,,
0180C2640,462.9,1245,,,,,
0180C2650,400.6,1324,,,,,
0180C2660,442.8,1214,,,,,
0180C2670,412.4,1388,,,,,
0180C2680,368.7,1513,,,,,
0180C2690,397.2,1437,,,,,
0180C2700,402.6,1637,,,,,
0180C2710,415,1575,,,,,
0180C2720,385.3,1342,,,,,
0180C2730,381.2,1521,,,,,
0180C2740,417.7,1438,,,,,
0180C2750,413.7,1415,,,,,
0180C2760,399.8,1120,,,,,
0180C2770,429.2,1425,,,,,
0180C2780,504.2,2409,,,,,
0180C2790,503.3,1406,,,,,
0180C2800,437.1,1517,,,,,
0180C2810,528.6,1581,,,,,
0180C2820,349,984,,,,,
0180C2830,519.5,1122,,,,,
0180C2840,450.1,1458,,,,,
0180C2850,392.1,1211,,,,,
0180C2860,438.8,1648,,,,,
0180C2870,430,1029,,,,,
0180C2880,528.9,2137,,,,,
0180C2890,439.8,1269,,,,,
0180C2900,456.5,1464,,,,,
0180C2910,389,1476,,,,,
0180C2920,382.3,1374,,,,,
0180C2930,310,1475,,,,,
0180C2940,436.5,1569,,,,,
0180C2950,507.7,3570,,,,,
0180C2960,506.4,1537,,,,,
0180C2970,407.3,1395,,,,,
0180C2980,551.4,1000,,,,,
0180C2990,384.1,948,,,,,
0180C3000,425.6,1313,,,,,
0180C3010,335.2,979,,,,,
0180C3020,383.8,1116,,,,,
0180C3030,379.5,1026,,,,,
0180C3040,387.6,1336,,,,,
0180C3050,435.2,1344,,,,,
0180C3060,414.3,1005,,,,,
0180C3070,512.3,1394,,,,,
0180C3080,412.1,1011,,,,,
0180C3090,346.8,1039,,,,,
0180C3100,492.4,1921,,,,,
0180C3110,348.5,1317,,,,,
0180C3120,527.5,1259,,,,,
0180C3130,439.4,1230,,,,,
0180C3140,396,1535,,,,,
0180C3150,398,1196,,,,,
0180C3160,378.5,1539,,,,,
0180C3170,435,1346,,,,,
0180C3180,426.9,1586,,,,,
0180C3190,401,1600,,,,,
0180C3200,388,1561,,,,,
0180C3210,402.6,1132,,,,,
0180C3220,452.6,1259,,,,,
0180C3230,473.9,1357,,,,,
0180C3240,443.5,1404,,,,,
0180C3250,429.4,1558,,,,,
0180C3260,278.4,1816,,,,,
0180C3270,377.7,1354,,,,,
0180C3280,445.3,1038,,,,,
0180C3290,398.8,1279,,,,,
0180C3300,461.3,1498,,,,,
0180C3310,355.3,1249,,,,,
0180C3320,327.9,1796,,,,,
0180C3330,414.9,1816,,,,,
0180C3340,398.6,1488,,,,,
0180C3350,458.3,1516,,,,,
0180C3360,424.1,1679,,,,,
0180C3370,372.7,1560,,,,,
0180C3380,421.5,1100,,,,,
0180C3390,402.8,1353,,,,,
0180C3400,414.6,1598,,,,,
0180C3410,519,900,,,,,
0180C3420,440.6,1098,,,,,
0180C3430,451.7,1324,,,,,
0180C3440,439.9,1304,,,,,
0180C3450,455.8,1485,,,,,
0180C3460,416.5,1294,,,,,
0180C3470,391.9,1194,,,,,
0180C3480,439.8,1962,,,,,
0180C3490,454.4,1110,,,,,
0180C3500,380.1,1137,,,,,
0180C3510,440.3,1495,,,,,
0180C3520,434.7,1498,,,,,
