"","deso","regso","nodes","avg_accessibility","avg_dijk_dist","avg_euc_dist","area_m2","Median income tkr","pop","total_households","swedish","foreign","middle_school","gymnasium","post_gymnasium_less_than_3","post_gymnasium_more_than_3","education_missing","hyresrätt","bostadsrätt","äganderätt","bilar_i_trafik","cars_per_household"
"40","1480C3300","Länsmansgården norra",104,1.22815580047756,541.471664554606,0.0042148678695189,1691315.42645389,288,2138,910,0.271281571562208,0.728718428437792,0.208264462809917,0.40495867768595,0.138842975206612,0.19504132231405,0.0528925619834711,0.831746031746032,0.134391534391534,0.0338624338624339,508,0.558241758241758
"41","1480C1670","Krokslätt södra",91,1.22480061099908,547.559690329838,0.00352515921300118,240350.681463063,293.9,2021,1179,0.7367639782286,0.2632360217714,0.0371024734982332,0.235865724381625,0.166961130742049,0.536219081272085,0.0238515901060071,0.82348367029549,0.117418351477449,0.0590979782270607,428,0.363019508057676
"42","1480C2550","Lunden västra",29,1.2239963474385,551.511058065491,0.00372058543862265,70848.0974798633,372.5,1718,1065,0.816647264260768,0.183352735739232,0.0433275563258232,0.282495667244367,0.2157712305026,0.434142114384749,0.024263431542461,0.769911504424779,0.230088495575221,0,391,0.367136150234742
"43","1480C3890","Gårdsten nordöstra",49,1.22322774078304,561.648782244835,0.00326532106319921,558392.45441468,271.3,2555,970,0.11545988258317,0.88454011741683,0.177793904208999,0.465166908563135,0.136429608127721,0.150943396226415,0.06966618287373,0.925925925925926,0,0.0740740740740741,664,0.684536082474227
"44","1480C2820","Södra Biskopsgården östra",50,1.22281196541531,586.231113411179,0.0152907470434083,231444.35568612,267.5,2642,847,0.175624526873581,0.824375473126419,0.160383824537354,0.303632625085675,0.141877998629198,0.265935572309801,0.128169979437971,1,0,0,471,0.556080283353011
"45","1480C3320","Kortedala  södra",95,1.22144821110261,596.470676925323,0.00702922228682254,363347.974661662,321.6,1747,787,0.539782484258729,0.460217515741271,0.121465968586387,0.361256544502618,0.162303664921466,0.330890052356021,0.0240837696335079,0.818069306930693,0.0321782178217822,0.149752475247525,479,0.60864040660737
"46","1480C2970","Svartedalen östra",88,1.21844547480007,619.056313148319,0.0144032204944629,420267.625223975,329.4,2662,1332,0.385424492862509,0.614575507137491,0.114250614250614,0.375921375921376,0.151105651105651,0.321867321867322,0.0368550368550369,0.882395382395382,0.115440115440115,0.00216450216450216,624,0.468468468468468
"47","1480C1270","Tofta",170,1.21513080755358,705.523933920801,0.00307974234581013,600696.567992273,268,1633,897,0.551132884262094,0.448867115737906,0.173024523160763,0.433242506811989,0.155313351498638,0.222070844686649,0.0163487738419619,0.87037037037037,0.12962962962963,0,469,0.522853957636566
"48","1480C1780","Kungsladugård Älvsborgsgatan",46,1.21239551259155,656.496456207885,0.00515937495118462,178093.921440576,353.5,2044,1099,0.831702544031311,0.168297455968689,0.0631911532385466,0.252764612954186,0.219589257503949,0.458925750394945,0.00552922590837283,0.798275862068966,0.201724137931034,0,483,0.439490445859873
"49","1480C3380","Kortedala sydöstra",81,1.20949620359306,689.498922770635,0.00338275251499505,309395.361506138,227.2,2007,1065,0.318385650224215,0.681614349775785,0.202542372881356,0.385593220338983,0.166949152542373,0.207627118644068,0.0372881355932203,0.978066612510154,0.0219333874898457,0,384,0.36056338028169
"50","1480C1750","Kungsladugård Kungsladugårdsgatan",33,1.20676579118522,728.332738673004,0.00398088010284396,139446.710375368,329.1,1726,1031,0.800695249130939,0.199304750869061,0.069055944055944,0.286713286713287,0.202797202797203,0.431818181818182,0.00961538461538462,0.842843779232928,0.157156220767072,0,376,0.364694471387003
"51","1480C3540","Tuve Norumshöjd",65,1.20382765779383,744.512482949131,0.00404850490650671,242969.499499898,260.4,2327,957,0.38504512247529,0.61495487752471,0.201619433198381,0.492307692307692,0.136032388663968,0.147368421052632,0.0226720647773279,0.99706457925636,0,0.00293542074363992,509,0.531870428422153
"52","1480C3690","Hjällbo västra",30,1.19677262555144,813.181048513974,0.00164796854672914,126350.209976764,196.4,1955,641,0.0746803069053708,0.925319693094629,0.318704284221526,0.366771159874608,0.133751306165099,0.13166144200627,0.0491118077324974,1,0,0,332,0.517940717628705
