deso,regso,nodes,avg_accessibility,avg_dijk_dist,avg_euc_dist,area_m2,Median income tkr,pop,total_households,swedish,foreign,middle_school,gymnasium,post_gymnasium_less_than_3,post_gymnasium_more_than_3,education_missing,hyresrätt,bostadsrätt,äganderätt,bilar_i_trafik,cars_per_household
1480C2900,Södra Biskopsgården östra,42,1.1697785027456942,1096.376115884068,0.013078898599433642,475750.55288864323,299.8,1693,682,0.2108682811577082,0.7891317188422918,0.1334604385128694,0.29647283126787416,0.16777883698760723,0.3107721639656816,0.09151572926596759,1,0,0,311,0.4560117302052786
1480C1490,Högsbotorp östra,57,1.1694662050239777,1061.5126220906968,0.00436901183722259,150802.12952996668,339.1,1650,947,0.7187878787878788,0.2812121212121212,0.053838484546360914,0.27018943170488535,0.18743768693918245,0.46859421734795614,0.019940179461615155,0.457286432160804,0.542713567839196,0,435,0.4593453009503696
1480C3640,Hjällbo västra,104,1.168090817238257,1066.1636056411032,0.007706506226526402,775581.3370632307,215,1613,473,0.0731556106633602,0.9268443893366398,0.3165829145728643,0.3844221105527638,0.13190954773869346,0.12311557788944724,0.04396984924623116,0.8944099378881988,0,0.10559006211180125,239,0.5052854122621564
1480C3280,Gamlestaden västra,659,1.1668479275770267,1274.5862545851098,0.009386921107435758,3872781.67021476,315.3,2044,1254,0.5264187866927593,0.4735812133072407,0.10965867828612927,0.3369644153957879,0.19026870007262164,0.32752360203340597,0.03558460421205519,0.6759735488611315,0.32402645113886847,0,467,0.372408293460925
1480C3200,Kärrdalen,303,1.1657332851561628,1175.2439708494085,0.017287524239163306,664867.8062728848,409.7,1612,519,0.6048387096774194,0.3951612903225806,0.09294117647058824,0.25882352941176473,0.16,0.4541176470588235,0.03411764705882353,0.02857142857142857,0,0.9714285714285714,621,1.1965317919075145
1480C1800,Krokslätt norra,16,1.1653771108409565,1091.4561574220018,0.0037192481794228616,60954.16300769913,360.6,1543,1009,0.7621516526247569,0.23784834737524305,0.03787878787878788,0.25946969696969696,0.1903409090909091,0.48011363636363635,0.032196969696969696,0.7174111212397447,0.28258887876025524,0,340,0.33696729435084244
1480C3370,Kortedala sydöstra,54,1.1644848043446117,1098.4251772277328,0.009557879045653295,313241.48318320606,226.2,1906,944,0.33263378803777544,0.6673662119622246,0.17898486197684774,0.396260017809439,0.1682991985752449,0.21816562778272486,0.03829029385574354,0.9323770491803278,0.0471311475409836,0.020491803278688523,404,0.4279661016949153
1480C2270,Kärralund,229,1.162915054334073,1130.2233258596577,0.007326380518692812,1539770.2129147928,425.3,3303,1809,0.8504389948531638,0.1495610051468362,0.024628014366341714,0.19907644946126218,0.19343252950230888,0.5587480759363777,0.024114930733709596,0.35821669258683253,0.5733540694660446,0.06842923794712286,1064,0.5881702598120508
1480C2590,Nolered Amhult-Arendal,3610,1.1614517892102632,1205.6141837013924,0.00554789291500025,32419780.80322399,373.5,2674,1229,0.7842183994016455,0.21578160059835452,0.07081712062256809,0.39455252918287936,0.18365758754863815,0.3276264591439689,0.023346303501945526,0.5983739837398374,0.27235772357723576,0.12926829268292683,788,0.6411716842961758
1480C1080,Hovås,256,1.159221886770795,1150.8187342496904,0.008129481413243904,1982192.616721277,483.3,1429,557,0.8642407277816655,0.1357592722183345,0.023026315789473683,0.22532894736842105,0.17927631578947367,0.5657894736842105,0.006578947368421052,0.14982578397212543,0.09581881533101046,0.7543554006968641,639,1.14721723518851
